gold,Program,MethodType,CallersT,CallersN,CallersU,CallersCallersT,CallersCallersN,CallersCallersU,CalleesT,CalleesN,CalleesU,CalleesCalleesT,CalleesCalleesN,CalleesCalleesU
T,chess,Inner,1,0,0,1,0,0,0,1,1,0,0,0
N,chess,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,chess,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
T,chess,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
T,chess,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
T,chess,Inner,1,0,1,1,1,1,1,0,0,1,0,1
T,chess,Inner,0,1,1,0,1,1,1,1,0,1,1,1
N,chess,Inner,0,1,1,0,1,1,0,1,0,0,1,1
T,chess,Inner,0,1,1,1,1,1,1,1,0,1,1,1
N,chess,Inner,0,1,1,0,1,1,0,1,0,0,1,1
T,chess,Inner,0,1,1,1,1,1,1,1,0,1,1,1
T,chess,Inner,0,1,1,1,1,1,1,1,0,1,1,1
N,chess,Inner,0,1,1,0,1,1,0,1,0,0,1,1
T,chess,Inner,1,1,0,1,1,1,0,0,1,0,0,0
T,chess,Inner,1,1,0,0,1,1,0,0,1,0,0,0
N,chess,Inner,0,1,0,0,1,1,0,0,1,0,0,0
T,chess,Inner,1,1,0,0,1,1,0,0,1,0,0,0
N,chess,Inner,0,1,0,0,1,1,0,0,1,0,0,0
T,chess,Inner,1,0,0,1,1,1,0,0,1,0,0,0
T,chess,Inner,1,0,0,1,1,1,0,0,1,0,0,0
N,chess,Inner,0,1,0,0,1,1,0,0,1,0,0,0
T,chess,Inner,1,1,1,1,1,1,1,0,0,0,0,0
N,chess,Inner,0,1,1,0,1,1,0,1,0,0,0,0
N,chess,Inner,0,1,1,0,1,1,0,1,0,0,0,0
N,chess,Inner,1,1,1,1,1,1,1,0,0,0,0,0
N,chess,Inner,0,1,1,0,1,1,0,1,0,0,0,0
N,chess,Inner,0,1,1,0,1,1,0,1,0,0,0,0
N,chess,Inner,0,1,1,0,1,1,0,1,0,0,0,0
N,chess,Inner,0,1,1,0,1,1,0,1,0,0,0,0
N,chess,Inner,0,1,0,0,0,0,1,1,1,1,1,1
N,chess,Inner,0,1,0,0,0,0,0,1,1,1,1,1
N,chess,Inner,0,1,0,0,0,0,0,1,1,0,1,1
N,chess,Inner,0,1,0,0,0,0,0,1,1,1,1,1
N,chess,Inner,0,1,0,0,0,0,0,1,1,0,1,1
N,chess,Inner,0,1,0,0,0,0,1,1,1,1,1,1
T,chess,Inner,1,0,0,0,0,0,1,1,1,1,1,1
N,chess,Inner,0,1,0,0,0,0,0,1,1,0,1,1
N,chess,Root,0,0,0,0,0,0,0,1,0,1,1,1
N,chess,Root,0,0,0,0,0,0,0,1,0,0,1,1
N,chess,Root,0,0,0,0,0,0,0,1,0,0,1,1
N,chess,Root,0,0,0,0,0,0,0,1,0,0,1,1
N,chess,Root,0,0,0,0,0,0,0,1,0,0,1,1
N,chess,Root,0,0,0,0,0,0,1,1,0,1,1,1
T,chess,Root,0,0,0,0,0,0,1,0,0,1,1,1
N,chess,Root,0,0,0,0,0,0,0,1,0,0,1,1
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
T,chess,Leaf,1,1,0,1,1,0,0,0,0,0,0,0
T,chess,Leaf,1,0,0,1,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
T,chess,Leaf,1,0,0,1,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
T,chess,Leaf,1,0,0,1,1,0,0,0,0,0,0,0
T,chess,Leaf,1,0,0,1,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,chess,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,chess,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,chess,Inner,0,1,0,0,1,0,1,1,1,0,0,0
N,chess,Inner,0,1,0,0,1,0,0,1,1,0,0,0
T,chess,Inner,1,1,0,0,1,0,1,1,1,0,0,0
T,chess,Inner,1,0,0,1,0,0,1,1,1,0,0,0
N,chess,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,chess,Root,0,0,0,0,0,0,0,1,0,0,1,1
N,chess,Root,0,0,0,0,0,0,0,1,0,0,1,1
N,chess,Root,0,0,0,0,0,0,0,1,0,0,1,1
N,chess,Root,0,0,0,0,0,0,0,1,0,1,1,1
N,chess,Root,0,0,0,0,0,0,0,1,0,0,1,1
T,chess,Root,0,0,0,0,0,0,1,0,0,1,1,1
T,chess,Root,0,0,0,0,0,0,1,0,0,1,1,1
N,chess,Root,0,0,0,0,0,0,0,1,0,0,1,1
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
T,chess,Leaf,1,1,0,0,0,0,0,0,0,0,0,0
T,chess,Leaf,1,0,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
T,chess,Leaf,1,0,0,1,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
T,chess,Leaf,0,1,0,1,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
T,chess,Leaf,1,0,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
T,chess,Leaf,1,0,0,1,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
T,chess,Leaf,0,1,0,1,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
T,chess,Leaf,1,0,0,1,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
T,chess,Inner,1,0,1,1,0,0,1,1,0,1,1,1
N,chess,Inner,0,1,1,0,1,0,1,1,0,1,1,1
N,chess,Inner,0,1,1,0,1,0,0,1,0,0,1,1
N,chess,Inner,0,1,1,0,1,0,1,1,0,1,1,1
N,chess,Inner,0,1,1,0,1,0,0,1,0,1,1,1
N,chess,Inner,0,1,1,0,1,0,1,1,0,1,1,1
N,chess,Inner,0,1,1,0,1,0,1,1,0,1,1,1
N,chess,Inner,0,1,1,0,1,0,0,1,0,0,1,1
N,chess,Inner,0,0,1,0,0,0,1,1,0,0,1,0
N,chess,Inner,0,0,1,0,0,0,1,1,0,0,1,0
N,chess,Inner,0,0,1,0,0,0,0,1,0,0,1,0
N,chess,Inner,0,0,1,0,0,0,0,1,0,0,1,0
N,chess,Inner,0,0,1,0,0,0,1,1,0,0,1,0
T,chess,Inner,0,0,1,0,0,0,1,1,0,1,0,0
T,chess,Inner,0,0,1,0,0,0,1,1,0,1,0,0
N,chess,Inner,0,0,1,0,0,0,0,1,0,0,1,0
T,chess,Leaf,1,0,0,1,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,chess,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,chess,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,chess,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,chess,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,chess,Inner,0,1,0,0,1,0,1,0,1,0,0,0
T,chess,Inner,1,0,0,1,0,0,1,0,1,0,0,0
N,chess,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,chess,Root,0,0,0,0,0,0,1,1,1,1,1,0
N,chess,Root,0,0,0,0,0,0,0,1,1,0,1,0
N,chess,Root,0,0,0,0,0,0,0,1,1,0,1,0
N,chess,Root,0,0,0,0,0,0,1,1,1,0,1,0
N,chess,Root,0,0,0,0,0,0,0,1,1,0,1,0
T,chess,Root,0,0,0,0,0,0,1,1,1,1,1,0
T,chess,Root,0,0,0,0,0,0,1,1,1,1,1,0
N,chess,Root,0,0,0,0,0,0,0,1,1,1,1,0
T,chess,Leaf,1,0,0,1,0,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
T,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,1,0,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,1,0,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
T,chess,Leaf,1,1,0,1,0,1,0,0,0,0,0,0
T,chess,Leaf,1,0,0,1,0,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Root,0,0,0,0,0,0,0,1,1,0,1,0
N,chess,Root,0,0,0,0,0,0,0,1,1,0,1,0
N,chess,Root,0,0,0,0,0,0,0,1,1,0,1,0
N,chess,Root,0,0,0,0,0,0,0,1,1,0,1,0
N,chess,Root,0,0,0,0,0,0,0,1,1,0,1,0
T,chess,Root,0,0,0,0,0,0,1,0,1,1,0,0
T,chess,Root,0,0,0,0,0,0,1,0,1,1,0,0
N,chess,Root,0,0,0,0,0,0,0,1,1,0,1,0
T,chess,Leaf,1,1,0,1,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,1,1,1,0,0,0,0,0,0
T,chess,Leaf,1,1,0,1,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
T,chess,Inner,1,0,0,1,0,0,1,0,1,0,0,0
N,chess,Inner,0,1,0,0,1,0,1,0,1,0,0,0
N,chess,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,chess,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,chess,Inner,0,1,0,1,0,0,0,1,1,0,0,0
N,chess,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,chess,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,chess,Inner,0,1,0,0,1,0,0,1,1,0,0,0
T,chess,Leaf,1,1,1,1,1,1,0,0,0,0,0,0
T,chess,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,chess,Leaf,1,1,1,1,1,1,0,0,0,0,0,0
N,chess,Leaf,1,1,1,1,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
T,chess,Leaf,1,1,0,1,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,1,0,0,0,0,0,0,0,0
N,chess,Leaf,1,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,1,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
T,chess,Root,0,0,0,0,0,0,1,0,1,1,0,0
N,chess,Root,0,0,0,0,0,0,1,1,1,0,1,0
N,chess,Root,0,0,0,0,0,0,0,1,1,0,1,0
N,chess,Root,0,0,0,0,0,0,0,1,1,0,1,0
N,chess,Root,0,0,0,0,0,0,1,1,1,0,1,0
N,chess,Root,0,0,0,0,0,0,0,1,1,0,1,0
N,chess,Root,0,0,0,0,0,0,0,1,1,0,1,0
N,chess,Root,0,0,0,0,0,0,0,1,1,0,1,0
T,chess,Leaf,1,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,1,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,1,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,1,1,0,1,1,0,0,0,0,0,0,0
N,chess,Leaf,1,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
T,chess,Leaf,1,1,0,1,1,0,0,0,0,0,0,0
T,chess,Leaf,1,1,0,1,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
N,chess,Leaf,1,1,1,1,1,1,0,0,0,0,0,0
T,chess,Leaf,1,0,1,1,0,1,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,1,1,0,0,0,0,0,0
T,chess,Inner,1,0,0,1,0,0,1,0,0,1,0,1
N,chess,Inner,0,1,0,0,1,0,0,1,0,1,0,1
N,chess,Inner,0,1,0,0,1,0,0,1,0,0,1,1
N,chess,Inner,0,1,0,0,1,0,0,1,0,0,1,1
N,chess,Inner,1,0,0,0,1,0,1,1,0,0,1,1
N,chess,Inner,0,1,0,0,1,0,0,1,0,0,1,1
N,chess,Inner,0,1,0,0,1,0,0,1,0,0,1,1
N,chess,Inner,0,1,0,0,1,0,0,1,0,0,1,1
N,chess,Root,0,0,0,0,0,0,0,1,0,0,1,0
N,chess,Root,0,0,0,0,0,0,0,1,0,0,1,0
N,chess,Root,0,0,0,0,0,0,0,1,0,0,1,0
N,chess,Root,0,0,0,0,0,0,0,1,0,0,1,0
N,chess,Root,0,0,0,0,0,0,0,1,0,0,1,0
T,chess,Root,0,0,0,0,0,0,1,0,0,1,0,0
T,chess,Root,0,0,0,0,0,0,1,0,0,1,0,0
N,chess,Root,0,0,0,0,0,0,0,1,0,0,1,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
T,chess,Leaf,1,0,0,0,0,0,0,0,0,0,0,0
T,chess,Leaf,1,0,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
T,chess,Leaf,1,0,0,1,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,0,0,0,0,0,0,0,0
N,chess,Leaf,1,0,1,0,0,0,0,0,0,0,0,0
T,chess,Leaf,1,0,1,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,0,0,0,0,0,0,0,0
T,chess,Leaf,1,0,0,1,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
T,chess,Leaf,0,1,0,1,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,1,1,0,1,1,1,0,0,0,0,0,0
T,chess,Leaf,1,0,0,1,0,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
T,chess,Leaf,1,1,0,0,1,0,0,0,0,0,0,0
T,chess,Leaf,1,0,0,1,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Inner,0,1,0,0,1,1,1,1,1,1,1,1
N,chess,Inner,0,1,0,0,1,1,1,1,1,1,1,1
N,chess,Inner,0,1,0,0,1,1,0,1,1,0,1,1
N,chess,Inner,0,1,0,0,1,1,0,1,1,0,1,1
N,chess,Inner,0,1,0,0,1,1,0,1,1,0,1,1
N,chess,Inner,0,1,0,1,1,1,1,1,1,1,1,1
T,chess,Inner,1,0,0,1,0,1,1,1,1,1,1,1
N,chess,Inner,0,1,0,0,1,1,0,1,1,0,1,1
N,chess,Inner,0,0,1,0,0,0,0,0,1,0,0,0
N,chess,Inner,0,0,1,0,0,0,0,0,1,0,0,0
N,chess,Inner,0,0,1,0,0,0,0,0,1,0,0,0
N,chess,Inner,0,0,1,0,0,0,0,0,1,0,0,0
N,chess,Inner,0,0,1,0,0,0,0,0,1,0,0,0
T,chess,Inner,0,0,1,0,0,0,0,0,1,0,0,0
T,chess,Inner,0,0,1,0,0,0,0,0,1,0,0,0
N,chess,Inner,0,0,1,0,0,0,0,0,1,0,0,0
N,chess,Root,0,0,0,0,0,0,1,1,1,1,1,1
N,chess,Root,0,0,0,0,0,0,1,1,1,1,1,1
N,chess,Root,0,0,0,0,0,0,0,1,1,0,1,1
N,chess,Root,0,0,0,0,0,0,0,1,1,0,1,1
N,chess,Root,0,0,0,0,0,0,0,1,1,1,1,1
T,chess,Root,0,0,0,0,0,0,0,1,1,1,1,1
T,chess,Root,0,0,0,0,0,0,1,1,1,1,1,1
N,chess,Root,0,0,0,0,0,0,1,1,1,0,1,1
N,chess,Root,0,0,0,0,0,0,1,1,1,1,1,1
N,chess,Root,0,0,0,0,0,0,1,1,1,1,1,1
N,chess,Root,0,0,0,0,0,0,0,1,1,0,1,1
N,chess,Root,0,0,0,0,0,0,0,1,1,0,1,1
N,chess,Root,0,0,0,0,0,0,1,1,1,0,1,1
T,chess,Root,0,0,0,0,0,0,1,1,1,1,1,1
T,chess,Root,0,0,0,0,0,0,1,1,1,1,1,1
N,chess,Root,0,0,0,0,0,0,0,1,1,1,1,1
T,chess,Leaf,1,0,1,1,1,0,0,0,0,0,0,0
T,chess,Leaf,1,0,1,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,1,1,1,0,0,0,0,0,0,0
T,chess,Leaf,0,1,1,1,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,1,0,0,0,0,0,0,0
T,chess,Leaf,1,0,0,1,0,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
T,chess,Leaf,1,0,0,1,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
T,chess,Leaf,1,0,0,1,0,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
T,chess,Leaf,1,1,0,1,0,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,1,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,1,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
T,chess,Leaf,1,0,1,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,0,0,0,0,0,0,0,0
N,chess,Leaf,0,1,1,0,0,0,0,0,0,0,0,0
T,chess,Leaf,1,0,0,1,0,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
N,chess,Leaf,0,1,0,0,1,1,0,0,0,0,0,0
